"UAB ""Lempa""";2232344;LT333444;Tilto g. 2, Kaunas;Vardenis Pavardenis;Programavimo įmonė;https://logos-world.net/wp-content/uploads/2020/12/Lays-Logo-700x394.png
"UAB ""Raktas""";11212;LT333444;Miltų g. 2, Kaunas;Vardenis Pavardenis;Programavimo įmonė;https://logos-world.net/wp-content/uploads/2020/12/Lays-Logo-700x394.png
"UAB ""Taktas""";1212123;LT333444;Marijos g. 2, Kaunas;Vardenis Pavardenis;Programavimo įmonė;https://logos-world.net/wp-content/uploads/2020/12/Lays-Logo-700x394.png
"UAB ""Donkratas""";31313313;LT333444;Talijos g. 2, Kaunas;Vardenis Pavardenis;Programavimo įmonė;https://logos-world.net/wp-content/uploads/2020/12/Lays-Logo-700x394.png
"UAB ""Maritas""";31313133;LT333444;Mongolijos g. 2, Kaunas;Vardenis Pavardenis;Programavimo įmonė;https://logos-world.net/wp-content/uploads/2020/12/Lays-Logo-700x394.png
"UAB ""Lasas""";133456;LT333444;Tilto g. 2, Kaunas;Vardenis Pavardenis;Programavimo įmonė;https://logos-world.net/wp-content/uploads/2020/12/Lays-Logo-700x394.png
"UAB ""Dasas""";4232323;LT333444;Tilto g. 2, Kaunas;Vardenis Pavardenis;Programavimo įmonė;https://logos-world.net/wp-content/uploads/2020/12/Lays-Logo-700x394.png
"UAB ""Dingo""";233333;LT333444;Tilto g. 2, Kaunas;Vardenis Pavardenis;Programavimo įmonė;https://logos-world.net/wp-content/uploads/2020/12/Lays-Logo-700x394.png
"UAB ""Rask""";32323;LT333444;Tilto g. 2, Kaunas;Vardenis Pavardenis;Programavimo įmonė;https://logos-world.net/wp-content/uploads/2020/12/Lays-Logo-700x394.png
"UAB ""Kampas""";2323;LT333444;Tilto g. 2, Kaunas;Vardenis Pavardenis;Programavimo įmonė;https://logos-world.net/wp-content/uploads/2020/12/Lays-Logo-700x394.png
